entry_date,exit_date,direction,holding_days,trade_return
2026-01-06,2026-02-04,short_spread,20,-0.024872855028958307
2026-02-05,2026-02-10,short_spread,3,0.06416639582459838
2026-03-12,2026-04-06,short_spread,16,0.055658972876926116
2026-04-20,2026-04-22,long_spread,2,0.012163673830095867
2026-04-28,2026-05-01,long_spread,2,0.0637916007552426
2026-05-11,2026-05-20,short_spread,7,0.060321316571136485
2026-05-26,2026-06-22,long_spread,19,-0.03040004738976665
2026-06-23,2026-06-24,short_spread,1,-0.0033010521200388387
2026-06-30,2026-07-10,long_spread,8,0.07589747568993421
2026-07-14,2026-07-17,short_spread,3,0.05115143016932633
2026-08-14,2026-09-01,short_spread,12,-0.025188040274632728
