period,start,end,strategy,tc_bp,borrow_rate,total_return,ann_return,ann_vol,sharpe,max_drawdown,trades,win_rate,avg_holding_days,turnover
design_2022_2024,2022-01-14,2024-12-30,low_always,5.0,0.01,-0.22346707128876675,-0.08382503801633334,0.10241338427955955,-0.8032321240455853,-0.2639098036535341,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,5.0,0.03,-0.23779342443843954,-0.08971159999239509,0.102422833557167,-0.8660571553936274,-0.277061339053131,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,5.0,0.05,-0.2518560221094994,-0.09556057142040042,0.10243317109775377,-0.928862540820716,-0.28997840768738214,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,10.0,0.01,-0.2502241563052364,-0.09487817227220363,0.10258012352589682,-0.9200330586180865,-0.28784277745899345,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,10.0,0.03,-0.2640573788469799,-0.10069393370078283,0.10258888059961195,-0.9827518528712849,-0.3005671688925331,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,10.0,0.05,-0.27763591522914766,-0.10647255531213562,0.10259852462755394,-1.0454509026805348,-0.31306470051419355,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,20.0,0.01,-0.30104104517873376,-0.11660212863927488,0.1030724948153782,-1.1507228406974117,-0.3334327150651024,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,20.0,0.03,-0.3139376658741756,-0.12227873036457948,0.10307986282088726,-1.213138806182906,-0.345343396340543,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_always,20.0,0.05,-0.3265968266902298,-0.1279190782396652,0.10308811378551787,-1.275534924326155,-0.3570946826524656,35,0.2857142857142857,13.4,70.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,5.0,0.01,-0.11818048067742137,-0.042600986201642765,0.04919887471031007,-0.860165991943897,-0.1346255639376538,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,5.0,0.03,-0.12376599565416013,-0.04470450881667609,0.049224551328329,-0.9043658065787139,-0.13990278813895585,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,5.0,0.05,-0.12931635127103913,-0.04680349300634268,0.04925159808722253,-0.9484931469754906,-0.14514803849565694,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,10.0,0.01,-0.12871591591329434,-0.046576004432603235,0.04931535527116158,-0.9423645995457288,-0.143241817243284,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,10.0,0.03,-0.134234905789674,-0.04867087225246669,0.04934190869284518,-0.9863997666231998,-0.14846666698615374,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,10.0,0.05,-0.13971915376010735,-0.0507612201499672,0.049369828046497755,-1.0303590559249776,-0.15365985918779745,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,20.0,0.01,-0.14942605106617646,-0.05448251343251975,0.0496691206435877,-1.102913371918696,-0.16023043414507454,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,20.0,0.03,-0.15481426150296485,-0.056560165572017485,0.04969734648726041,-1.1465107003583,-0.16535201269438782,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_structure_gate,20.0,0.05,-0.16016855073668612,-0.05863333459623643,0.04972692661122201,-1.1900261238245464,-0.1704425574137124,12,0.16666666666666666,13.333333333333334,24.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,5.0,0.01,-0.029856402227188106,-0.010437478867913352,0.018008553361950834,-0.5736150980769967,-0.038674800106919704,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,5.0,0.03,-0.030627232127884207,-0.010709716260520308,0.018030620319381973,-0.5881496692748853,-0.03940085080845668,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,5.0,0.05,-0.03139748016533406,-0.010981889574304904,0.018053248399494796,-0.6026299761485171,-0.040126381994193494,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,10.0,0.01,-0.030822138831723356,-0.010778574738119273,0.01792891616153408,-0.5954700135192448,-0.03915570315839201,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,10.0,0.03,-0.031592220280918015,-0.011050724965122383,0.017951443090154614,-0.6100265682721256,-0.0398813906529748,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,10.0,0.05,-0.03236172041757135,-0.01132281113224387,0.017974532457660005,-0.6245270927067018,-0.04060655889164522,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,20.0,0.01,-0.03275216933163938,-0.011460923367295539,0.01779772875733534,-0.6387578885152012,-0.04011750926133639,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,20.0,0.03,-0.03352075496745199,-0.01173289922597398,0.017821150972143946,-0.653334059866637,-0.04084247034201094,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,low_confirmed_gate,20.0,0.05,-0.03428876039135398,-0.012004811062659715,0.017845137398879413,-0.6678508505964614,-0.04156691268654855,1,0.0,20.0,2.0
design_2022_2024,2022-01-14,2024-12-30,conservative,5.0,0.01,-0.05522498406454435,-0.019472381825659024,0.06909783090695383,-0.25010248864573376,-0.11505198107367132,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,5.0,0.03,-0.0663338994485897,-0.02347873622679897,0.0691033012212096,-0.3093187399952652,-0.1213898340077908,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,5.0,0.05,-0.07731262646267223,-0.02746887905299278,0.06911016131387679,-0.368518205897322,-0.12768254527641743,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,10.0,0.01,-0.0655841406439035,-0.023207363079942867,0.06921596919137672,-0.3046873723494862,-0.1185990179514893,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,10.0,0.03,-0.07657145344299865,-0.027198530730711323,0.06922162833582744,-0.3637972549385436,-0.12491153807882616,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,10.0,0.05,-0.08743000058497652,-0.03117354795946703,0.0692286748491032,-0.42288899835464566,-0.1311790964727544,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,20.0,0.01,-0.08597810918348558,-0.030640265444902615,0.06953145916096455,-0.4128291961553304,-0.12576690264886314,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,20.0,0.03,-0.096726017841963,-0.034601209550325085,0.06953748716262224,-0.4716595943369713,-0.1322003053713523,11,0.36363636363636365,27.09090909090909,22.0
design_2022_2024,2022-01-14,2024-12-30,conservative,20.0,0.05,-0.10734796187234508,-0.03854612493873388,0.0695448961626116,-0.530469259648916,-0.1406008329797943,11,0.36363636363636365,27.09090909090909,22.0
validation_2025,2025-01-06,2025-12-30,low_always,5.0,0.01,-0.13671152746157533,-0.14139908476732121,0.1622421742373761,-0.8570504547463329,-0.20640634712904893,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,5.0,0.03,-0.14132933500200173,-0.14616144677368637,0.1622566360095805,-0.8912133785159597,-0.20946276113937068,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,5.0,0.05,-0.14592262351021634,-0.15089758128415653,0.1622717028010242,-0.9253667628324184,-0.21250752472091616,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,10.0,0.01,-0.1435846637481476,-0.14848703122260687,0.16216853781908896,-0.9085981010067975,-0.2103675183664523,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,10.0,0.03,-0.14816584084796947,-0.15321021758449005,0.16218289291818005,-0.9427725594842264,-0.21340875465110032,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,10.0,0.05,-0.1527226926964439,-0.15790739143619736,0.16219785333093184,-0.9769373229205732,-0.21643839806339293,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,20.0,0.01,-0.157177315213608,-0.1624982836683646,0.16209319529753874,-1.0113849492394773,-0.2182365211290197,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,20.0,0.03,-0.1616860471541146,-0.16714402550512464,0.16210733048447548,-1.0455676072579172,-0.22124760528844412,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_always,20.0,0.05,-0.16617083710559144,-0.1717641798447188,0.1621220713066667,-1.0797402710088535,-0.22424721092129507,8,0.375,16.875,16.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,5.0,0.01,0.01330557192821935,0.013801756373246876,0.01284168017088077,1.0738181417225114,-0.006020183756419661,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,5.0,0.03,0.013145287713923093,0.013635454800607238,0.012798165124080683,1.0646073051953044,-0.006059846454832374,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,5.0,0.05,0.012985022515465072,0.013469173931950795,0.01275500739838473,1.0553040551273005,-0.006099509153245086,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,10.0,0.01,0.012295587366011773,0.01275387144840634,0.012616877159176159,1.0107566190717892,-0.006517422283805141,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,10.0,0.03,0.012135443080465658,0.012587721194471824,0.01257417321697266,1.00109826944039,-0.006557065140948004,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,10.0,0.05,0.01197531779651495,0.01242159162824863,0.012531838539843054,0.9913448816116552,-0.006596707998090867,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,20.0,0.01,0.010277128987312034,0.010659785092312468,0.012281592885571162,0.869473375813034,-0.0075118993385761,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,20.0,0.03,0.010117264379847057,0.010493937265972475,0.012240984048061718,0.8589104382294959,-0.007551502513179265,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_structure_gate,20.0,0.05,0.009957418745505375,0.010328110094818044,0.012200768802844424,0.8482498182549146,-0.00759110568778254,1,1.0,4.0,2.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,5.0,0.01,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,5.0,0.03,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,5.0,0.05,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,10.0,0.01,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,10.0,0.03,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,10.0,0.05,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,20.0,0.01,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,20.0,0.03,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,low_confirmed_gate,20.0,0.05,0.0,0.0,0.0,,0.0,0,,,0.0
validation_2025,2025-01-06,2025-12-30,conservative,5.0,0.01,-0.09051368251312497,-0.09370391896066654,0.12282753878738267,-0.7384318187464819,-0.142982670411116,2,0.5,32.5,4.0
validation_2025,2025-01-06,2025-12-30,conservative,5.0,0.03,-0.09286025558531585,-0.09612875017442246,0.1228490716334373,-0.7600762361223061,-0.14383789572756323,2,0.5,32.5,4.0
