ticker,name,subsector,first_date,last_date,rows,source,access_date
6981.T,村田製作所,受動部品・MLCC,2021-01-04,2026-09-01,1385,Yahoo Finance (6981.T),2026-09-02
6976.T,太陽誘電,受動部品・MLCC,2021-01-04,2026-09-01,1385,Yahoo Finance (6976.T),2026-09-02
6762.T,TDK,受動部品・センサ,2021-01-04,2026-09-01,1385,Yahoo Finance (6762.T),2026-09-02
6971.T,京セラ,電子部品・セラミック,2021-01-04,2026-09-01,1385,Yahoo Finance (6971.T),2026-09-02
6770.T,アルプスアルパイン,電子部品・センサ,2021-01-04,2026-09-01,1385,Yahoo Finance (6770.T),2026-09-02
6806.T,ヒロセ電機,コネクタ,2021-01-04,2026-09-01,1385,Yahoo Finance (6806.T),2026-09-02
6807.T,日本航空電子工業,コネクタ,2021-01-04,2026-09-01,1385,Yahoo Finance (6807.T),2026-09-02
6963.T,ローム,半導体・電子部品,2021-01-04,2026-09-01,1385,Yahoo Finance (6963.T),2026-09-02
6988.T,日東電工,電子材料,2021-01-04,2026-09-01,1385,Yahoo Finance (6988.T),2026-09-02
6479.T,ミネベアミツミ,精密・電子部品,2021-01-04,2026-09-01,1385,Yahoo Finance (6479.T),2026-09-02
4980.T,デクセリアルズ,電子材料,2021-01-04,2026-09-01,1385,Yahoo Finance (4980.T),2026-09-02
6817.T,スミダコーポレーション,受動部品・コイル,2021-01-04,2026-09-01,1385,Yahoo Finance (6817.T),2026-09-02
6779.T,日本電波工業,受動部品・水晶,2021-01-04,2026-09-01,1385,Yahoo Finance (6779.T),2026-09-02
6997.T,日本ケミコン,受動部品・コンデンサ,2021-01-04,2026-09-01,1385,Yahoo Finance (6997.T),2026-09-02
